Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TGF-beta regulation of extracellular matrix	27/565	5.269659595648581E-11	2.4556613715722388E-8	0	0	5.2796635992443175	124.95100152962983	ADH1B;THBS2;HERPUD1;ADAMTS1;CTSK;TIMP3;STOM;A2M;CD34;S100A10;KLF10;BRD2;POSTN;PLK2;CAV1;F2R;FN1;FMO2;DKK1;TM4SF1;AGT;APLN;COL1A1;ACTA2;COL1A2;COL4A2;ATF3
Collagen biosynthesis and modifying enzymes	10/64	1.214849991175935E-9	2.8306004794399287E-7	0	0	18.274074074074075	375.1419836068297	COL1A1;ADAMTS2;COL3A1;COL1A2;COL4A2;COL4A1;COL5A2;COL6A3;COL8A1;PCOLCE
Integrins in angiogenesis	10/74	5.259770365559602E-9	8.170176634502582E-7	0	0	15.4109375	293.7814519199599	COL1A1;COL3A1;COL1A2;RPS6KB1;COL4A1;COL5A2;FN1;COL6A3;COL8A1;F11R
BDNF signaling pathway	16/261	1.7816950345450622E-8	2.0756747152449977E-6	0	0	6.579423521986114	117.39741426156378	KLF10;HSPA5;GDF15;PLK2;DKK1;GNG11;CLU;HERPUD1;UGDH;ABLIM1;ZEB1;MGP;SRSF5;ATF3;EIF4B;S100A10
Platelet activation, signaling and aggregation	14/205	3.717645964214317E-8	3.4648460386477432E-6	0	0	7.329468960359013	125.38955048737424	SPARC;HSPA5;F2R;FN1;GNG11;CLU;VAV2;COL1A1;COL1A2;CALU;PECAM1;SERPING1;A2M;F2RL3
Extracellular matrix organization	10/93	4.974972435539902E-8	3.863895258269324E-6	0	0	11.871686746987951	199.63738182605726	COL1A1;ADAMTS2;COL3A1;COL1A2;COL4A2;COL4A1;COL5A2;COL6A3;COL8A1;PCOLCE
Hemostasis pathway	20/468	1.2091158687881603E-7	8.049257069361182E-6	0	0	4.544642857142857	72.38800874018003	SPARC;CBX5;HSPA5;CAV1;F2R;FN1;SLC3A2;F11R;GNG11;CLU;PHF21A;VAV2;COL1A1;COL1A2;KIF5B;CALU;PECAM1;SERPING1;A2M;F2RL3
ECM-receptor interaction	9/84	2.434641768461209E-7	1.4181788301286542E-5	0	0	11.770149253731343	179.23931706979187	COL1A1;COL3A1;COL1A2;COL4A2;COL4A1;COL5A2;FN1;COL6A3;THBS2
Beta-3 integrin cell surface interactions	7/43	2.976819140705345E-7	1.5413307995207676E-5	0	0	18.921455938697317	284.33726565126557	COL1A1;COL1A2;COL4A1;FN1;PECAM1;THY1;F11R
NCAM1 interactions	7/44	3.5086744553229627E-7	1.6350422961805006E-5	0	0	18.409133271202236	273.6123214315527	COL1A1;COL3A1;COL1A2;COL4A2;COL4A1;COL5A2;COL6A3
Beta-1 integrin cell surface interactions	8/66	4.4041686394882823E-7	1.865765987274127E-5	0	0	13.473540457494025	197.19259609427525	COL1A1;COL3A1;COL1A2;COL4A1;COL5A2;FN1;COL6A3;THBS2
Syndecan 1 pathway	7/46	4.814439217323397E-7	1.8696072293939195E-5	0	0	17.463306808134394	254.02957473183602	COL1A1;COL3A1;COL1A2;COL4A1;COL5A2;COL6A3;COL8A1
