Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
POLR2L human tf ARCHS4 coexpression	46/299	1.0978800893246232E-39	1.3053794262069769E-36	0	0	20.76555023923445	1862.8243001958235	IFI27L2;NDUFA13;NDUFB7;NDUFA11;MRPS12;TIMM13;NDUFB2;MRPL14;UQCR11;COX7A2;HSD17B10;TXNDC17;PSMB6;LGALS1;PRDX4;S100A16;BLOC1S1;TSPO;SH3BGRL3;ROMO1;RABAC1;ATP6V1F;PSENEN;COX8A;FIS1;SIVA1;MRPL27;NDUFA1;MIF;EMP3;RHOC;PTRHD1;NME1;POLE4;MYL6;NDUFS8;EIF6;UQCRQ;RAB34;NDUFS5;RNF181;NAA38;LAMTOR1;AURKAIP1;LAMTOR4;COPE
POLE4 human tf ARCHS4 coexpression	44/299	4.514097381138917E-37	2.683630893087086E-34	0	0	19.477093958970872	1630.0076712815053	DTYMK;NDUFB7;NDUFA11;MRPS12;TIMM13;NDUFB2;MRPL14;UQCR11;CIB1;RPL8;HSD17B10;TXNDC17;PSMB6;EXOSC4;POLD2;TSPO;SH3BGRL3;ROMO1;RABAC1;ATP6V1F;COX8A;FIS1;PPP1R14B;SIVA1;MRPL27;MRPL28;MIF;EMP3;RHOC;MRPL24;COMMD4;NME1;TUFM;NDUFS8;EIF6;UQCRQ;NDUFS5;NAA38;LAMTOR1;AURKAIP1;ITPA;COPE;CD320;GALK1
RFXANK human tf ARCHS4 coexpression	43/299	8.724522787888087E-36	3.457819198266311E-33	0	0	18.85014816810345	1521.714508262888	NDUFA13;NDUFB8;NDUFA11;MTFP1;MPG;MRPS12;TIMM13;NDUFB2;MRPL14;UQCR11;RPL8;HSD17B10;PSMB10;TXNDC17;STX10;PSMB6;POLD2;ROMO1;RPS2;COX8A;SIVA1;MRPL27;NDUFA1;MRPL28;AGTRAP;RPSA;MIF;PTRHD1;NME1;DUSP23;NDUFS8;EIF6;UQCRQ;NDUFS5;HMBS;RNF181;NAA38;LAMTOR1;AURKAIP1;RPL29;LAMTOR4;ITPA;COPE
EDF1 human tf ARCHS4 coexpression	41/299	2.9539557373973878E-33	8.780633429413735E-31	0	0	17.629602713178294	1320.4953737340388	NDUFA13;NDUFB7;NDUFA11;MRPS12;UQCR11;CIB1;RPL8;TMEM141;HSD17B10;NUBP2;STX10;PRDX5;BLOC1S1;POLD2;ROMO1;RPS2;MPDU1;COX8A;ATP6V0B;PPP1R14B;SIVA1;DCXR;MRPL27;NDUFA1;MRPL28;RHOC;TUFM;MYL6;NDUFS8;EIF6;TST;UQCRQ;NDUFS5;RNF181;NAA38;AURKAIP1;RPL29;LAMTOR4;ARF5;COPE;GALK1
ZNF593 human tf ARCHS4 coexpression	35/299	5.025906667208599E-26	8.536861467587177E-24	0	0	14.21838578088578	828.2580326542788	ISCA2;DTYMK;NDUFB7;NDUFA11;MPG;MRPS12;TIMM13;MRPL14;UQCR11;RPL8;NUBP2;EXOSC4;POLD2;TSPO;ROMO1;COX8A;SIVA1;DCXR;MRPL28;HPS6;MIF;NME1;YIF1B;TUFM;POLE4;DUSP23;NDUFS8;EIF6;UQCRQ;NAA38;AURKAIP1;ITPA;COPE;CD320;GALK1
ZNF511 human tf ARCHS4 coexpression	35/299	5.025906667208599E-26	8.536861467587177E-24	0	0	14.21838578088578	828.2580326542788	NDUFB7;NDUFA11;MTFP1;MPG;MRPS12;TIMM13;UQCR11;RPL8;HSD17B10;PSMB10;NUBP2;STX10;EXOSC4;POLD2;TSPO;RPS2;MPDU1;COX8A;PPP1R14B;SIVA1;DCXR;MRPL28;MIF;YIF1B;TUFM;DUSP23;NDUFS8;EIF6;RAB34;AURKAIP1;RPL29;ARF5;COPE;CD320;GALK1
THAP3 human tf ARCHS4 coexpression	35/299	5.025906667208599E-26	8.536861467587177E-24	0	0	14.21838578088578	828.2580326542788	IFI27L2;DTYMK;NDUFB7;NDUFA11;MRPS12;TIMM13;NDUFB2;MRPL14;UQCR11;ETFB;HSD17B10;NUBP2;TXNDC17;PSMB6;EXOSC4;BLOC1S1;TSPO;ROMO1;RABAC1;ATP6V1F;COX8A;FIS1;SIVA1;MRPL28;MIF;NME1;POLE4;NDUFS8;EIF6;UQCRQ;NDUFS5;RNF181;NAA38;TMEM9;AURKAIP1
ZNF576 human tf ARCHS4 coexpression	28/299	2.4630972713907887E-18	3.254025172981831E-16	0	0	10.666666666666666	432.48119533312797	ISCA2;DTYMK;NDUFA13;NDUFB8;NDUFA11;MRPS12;TIMM13;NDUFB2;MRPL14;UQCR11;COX7A2;NUBP2;TXNDC17;PSMB6;PSMB5;TMEM208;ROMO1;ATP6V1F;MRPL27;MIF;NME1;NDUFS8;UQCRQ;NDUFS5;TMEM126A;RNF181;NAA38;LAMTOR4
ZNF771 human tf ARCHS4 coexpression	28/299	2.4630972713907887E-18	3.254025172981831E-16	0	0	10.666666666666666	432.48119533312797	IFI27L2;ISCA2;NDUFB7;NDUFA11;MRPS12;TIMM13;NDUFB2;UQCR11;COX7A2;ETFB;HSD17B10;NUBP2;EXOSC4;TSPO;RABAC1;ATP6V1F;COX8A;FIS1;MIF;C4ORF48;COMMD4;POLE4;NDUFS8;UQCRQ;NDUFS5;NAA38;LAMTOR1;CD320
BOLA3 human tf ARCHS4 coexpression	27/299	2.61569857460551E-17	2.8273323683690467E-15	0	0	10.19344040247678	389.2101755753737	NDUFA13;NDUFB8;NDUFB7;NDUFA11;TIMM13;NDUFB2;MRPL14;UQCR11;COX7A2;TXNDC17;PSMB6;PSMB5;ROMO1;POLR2H;COX8A;MRPL27;NDUFA1;MIF;PTRHD1;NME1;NDUFS8;UQCRQ;NDUFS5;CKS2;RNF181;NAA38;LAMTOR4
