Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NELFE ENCODE	9/234	8.494383637962537E-4	0.041062823056126595	0	0	3.8935323383084577	27.53091477	NXF1;CBX5;RRM2;HSPA5;MAT2A;GDF15;PMAIP1;GLS;HERPUD1
CHD1 ENCODE	17/655	5.757170057639701E-4	0.041062823056126595	0	0	2.644143778322803	19.72503317	SRRM2;KDM6B;SMIM15;RRM2;SLC3A2;GNL3;PTP4A1;ANLN;UGDH;UBL3;LBH;CUX1;MAT2A;THRAP3;PMAIP1;UBAP2L;VIM
TP53 CHEA	10/319	0.00207388	0.041062823056126595	0	0	3.152265372168285	19.47574849	COL1A1;PTP4A1;RRM2;GDF15;CALD1;PLK2;PMAIP1;VIM;ATF3;SYNE1
PPARD CHEA	9/285	0.003266689	0.046200312	0	0	3.1658014276443867	18.12097909	KLF10;POSTN;ADAMTS2;ZEB1;UBR4;PMP22;PCOLCE;THY1;SPIDR
E2F1 CHEA	19/859	0.001836063	0.041062823056126595	0	0	2.244141111942159	14.13838418	TSPYL2;KDM6B;ATF7IP;CBX5;RRM2;NOLC1;SLC3A2;HERPUD1;TJP1;NGRN;NXF1;PARD6B;UBL3;CUX1;MAT2A;TMEM106C;DLGAP5;EIF4B;S100A10
TP63 CHEA	27/1399	0.001604493	0.041062823056126595	0	0	1.9806194140419633	12.745182	SPAG17;WDR41;HDLBP;HERPUD1;ABLIM1;UBL3;LBH;PALMD;CTSK;PERP;KIF5B;PHYHD1;TIMP3;STOM;SERPINF1;AXIN1;EMP2;TSC1;MRPS6;SPIDR;APLN;NISCH;ANLN;CLDN10;ZEB1;PSRC1;TNNT2
FOSL2 ENCODE	6/196	0.017588235839586346	0.17412353481190482	0	0	3.0340557275541795	12.25917808	KLF10;ANLN;ZSCAN31;IFRD1;PAFAH1B2;S100A10
CREB1 CHEA	27/1444	0.002509871	0.041412865312468884	0	0	1.9130349271723914	11.45434268	CALCOCO1;WDR45B;UBR4;NOLC1;SLC3A2;GLS;NXF1;PARD6B;UBL3;PMAIP1;EIF4B;SRRM2;KDM6B;KLF10;BRD2;ZHX2;KDM2A;CBX5;HSPA5;PLK2;IFRD1;IFT122;PTP4A1;THRAP3;CALU;SRSF5;SRSF6
SALL4 CHEA	9/355	0.012989545438933908	0.16074562480680712	0	0	2.5162626175480978	10.92966458	PTP4A1;SPON2;ANLN;PARD6B;UBL3;COL4A1;VIM;LITAF;PRSS23
TRIM28 CHEA	6/210	0.023753039367744505	0.19596257478389217	0	0	2.8238177623990772	10.56120489	RBM17;TGDS;COL4A1;SLC3A2;HMGN3;OPTN
